,DOI,Publisher,prefix,publisher_name
74,10.1080/03086534.2018.1463612,Routledge,10.1080,Informa UK Limited
75,10.1017/CBO9781316275887.004,Cambridge University Press,10.1017,Cambridge University Press (CUP)
76,10.4324/9781315643960,Routledge,10.4324,Informa UK Limited
77,10.7228/manchester/9780719096495.003.0005,Manchester University Press,10.7228,Manchester University Press
78,10.12745/et.21.1.3257,Early Theatre,10.12745,Early Theatre
79,10.1017/9781316987292.012,Cambridge University Press,10.1017,Cambridge University Press (CUP)
80,10.1163/9789004285026_011,Brill,10.1163,Brill
81,10.5744/florida/9780813062419.003.0003,University Press of Florida,10.5744,University Press of Florida
82,10.4324/9781315166490-19,"Routledge, Taylor & Francis Group",10.4324,Informa UK Limited
83,10.1007/978-3-319-72242-9_10,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
84,10.1093/oso/9780198806516.003.0009,Oxford University Press,10.1093,Oxford University Press (OUP)
85,10.1111/1468-2281.12256,Blackwell Publishing Ltd.,10.1111,Wiley
86,10.1136/medhum-2018-011561,BMJ,10.1136,BMJ
87,10.1080/13602365.2019.1704831,Taylor & Francis,10.1080,Informa UK Limited
88,10.1007/978-3-030-46663-3,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
89,10.5040/9780755694884.ch-002,I.B.Tauris,10.5040,Bloomsbury Academic
90,10.7765/9781526151438.00012,Manchester University Press,10.7765,Manchester University Press
91,10.1017/9781108182799.008,Cambridge University Press,10.1017,Cambridge University Press (CUP)
92,10.1080/13619462.2016.1247701,Routledge,10.1080,Informa UK Limited
93,10.1177/0950017018777710,SAGE Publications,10.1177,SAGE Publications
94,10.1017/9781316424179,Cambridge University Press,10.1017,Cambridge University Press (CUP)
95,10.1080/0950236x.2020.1839954,Taylor & Francis,10.1080,Informa UK Limited
96,10.5040/9781501337918.ch-004,Bloomsbury Publishing Inc,10.5040,Bloomsbury Academic
97,10.1057/978-1-137-60142-1_3,Springer Nature,10.1057,Springer Science and Business Media LLC
98,10.1515/9783110684353-014,De Gruyter,10.1515,Walter de Gruyter GmbH
99,10.1017/CBO9781107337022.021,Cambridge University Press,10.1017,Cambridge University Press (CUP)
100,10.5040/9781474257749,Methuen Drama,10.5040,Bloomsbury Academic
101,10.1177/1462474518822487,SAGE Publications,10.1177,SAGE Publications
102,10.1080/16161262.2018.1430431,Informa UK Limited,10.1080,Informa UK Limited
103,10.1017/9781316651063.009,Cambridge University Press,10.1017,Cambridge University Press (CUP)
104,10.1093/oxfordhb/9780198706137.013.25,Oxford University Press,10.1093,Oxford University Press (OUP)
105,10.3366/edinburgh/9781474403894.003.0002,Edinburgh University Press,10.3366,Edinburgh University Press
106,10.1057/978-1-137-50608-5_8,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
107,10.1016/j.jhg.2015.04.020,Elsevier Ltd.,10.1016,Elsevier BV
108,10.1111/1467-9566.12546,Wiley,10.1111,Wiley
109,10.3828/liverpool/9781786941138.003.0010,Liverpool University Press,10.3828,Liverpool University Press
110,10.1017/9781108689045.015,Cambridge University Press,10.1017,Cambridge University Press (CUP)
111,10.1080/13639080.2015.1051520,Routledge,10.1080,Informa UK Limited
112,10.1017/9781787443655.009,Boydell and Brewer Limited,10.1017,Cambridge University Press (CUP)
113,10.1177/1012690219865980,SAGE Publications,10.1177,SAGE Publications
114,10.3366/jbctv.2018.0403,Edinburgh University Press,10.3366,Edinburgh University Press
115,10.1093/oso/9780198826422.003.0009,Oxford University Press,10.1093,Oxford University Press (OUP)
116,10.1057/978-1-137-46084-4,Springer/Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
117,10.7765/9781526123510.00021,Manchester University Press,10.7765,Manchester University Press
118,10.1017/9781108557771.012,Cambridge University Press,10.1017,Cambridge University Press (CUP)
119,10.1016/j.jbusres.2019.01.014,Elsevier,10.1016,Elsevier BV
120,10.1016/j.jbusres.2019.01.014,Elsevier,10.1016,Elsevier BV
121,10.1080/14616688.2017.1357142,Taylor & Francis,10.1080,Informa UK Limited
122,10.4324/9781315678863,Routledge,10.4324,Informa UK Limited
123,10.1007/978-3-319-58241-2_10,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
124,10.1080/13602365.2016.1230640,Taylor & Francis,10.1080,Informa UK Limited
125,10.1080/1070289X.2019.1648712,Informa UK Limited,10.1080,Informa UK Limited
126,10.7228/manchester/9781526107381.003.0008,Manchester University Press,10.7228,Manchester University Press
127,10.1017/9781108632218.016,Cambridge University Press,10.1017,Cambridge University Press (CUP)
128,10.1093/bjsw/bcv143,Oxford University Press,10.1093,Oxford University Press (OUP)
129,10.1007/s00355-019-01231-4,Springer Science and Business Media LLC,10.1007,Springer Science and Business Media LLC
130,10.4324/9781315636696-9,Routledge,10.4324,Informa UK Limited
131,10.1007/978-3-030-03795-6,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
132,10.1007/978-3-319-48423-5_7,Springer Nature (Firm),10.1007,Springer Science and Business Media LLC
133,10.1163/18773109-00601002,Brill,10.1163,Brill
134,10.4324/9781315624822,Routledge,10.4324,Informa UK Limited
135,10.3726/978-3-653-05229-9,Peter Lang,10.3726,"Peter Lang, International Academic Publishers"
136,10.1017/CBO9781139939799,Cambridge University Press,10.1017,Cambridge University Press (CUP)
137,10.1515/9783110346831.217,De Gruyter,10.1515,Walter de Gruyter GmbH
138,10.1057/978-1-137-55769-8_10,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
139,10.4324/9781315277370,Routledge,10.4324,Informa UK Limited
140,10.1007/978-1-137-31660-8,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
141,10.1093/oso/9780198797005.003.0003,Routledge,10.1093,Oxford University Press (OUP)
142,10.3828/msmi.2018.9,Liverpool University Press,10.3828,Liverpool University Press
143,10.1353/bhm.2018.0004,The Johns Hopkins University Press,10.1353,Project MUSE
144,10.7228/manchester/9780719091575.003.0007,Manchester University Press,10.7228,Manchester University Press
145,10.1017/9781316827192.003,Cambridge University Press,10.1017,Cambridge University Press (CUP)
146,10.2307/j.ctv80cdf6.10,Liverpool University Press,10.2307,JSTOR
147,10.1057/9781137320582,"Palgrave Macmillan, London",10.1057,Springer Science and Business Media LLC
148,10.4324/9781315588575,Routledge,10.4324,Informa UK Limited
149,10.1017/9781787442733.008,Boydell and Brewer Limited,10.1017,Cambridge University Press (CUP)
150,10.1080/0950236X.2015.1119987,Routledge Journals,10.1080,Informa UK Limited
151,10.1007/978-3-319-77863-1_6,Palgrave,10.1007,Springer Science and Business Media LLC
152,10.1177/1750481318771429,SAGE Publications,10.1177,SAGE Publications
153,10.1080/03004279.2015.1069367,Taylor and Francis,10.1080,Informa UK Limited
154,10.1017/9781108234108,Cambridge University Press,10.1017,Cambridge University Press (CUP)
155,10.5153/sro.4187,SAGE Publications,10.5153,SAGE Publications
156,10.1007/978-3-030-29256-0_12,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
157,10.1002/car.2571,Wiley,10.1002,Wiley
158,10.5040/9780567672766.ch-017,T&T Clark,10.5040,Bloomsbury Academic
159,10.1111/j.1467-6478.2016.00748.x,Wiley,10.1111,Wiley
160,10.1007/978-1-137-30553-4,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
161,10.1177/0163443714536077,Sage,10.1177,SAGE Publications
162,10.1163/25891774-02020005,Brill,10.1163,Brill
163,10.1017/cbo9781107478725.007,Cambridge University Press,10.1017,Cambridge University Press (CUP)
164,10.1177/0018726713496297,SAGE Publications,10.1177,SAGE Publications
165,10.4324/9781315795645,Routledge,10.4324,Informa UK Limited
166,10.4324/9780203736920-5,Routledge,10.4324,Informa UK Limited
167,10.1111/bjhp.12299,Wiley,10.1111,Wiley
168,10.1111/1467-9566.12548,Blackwell,10.1111,Wiley
169,10.1515/9783110473490-005,De Gruyter,10.1515,Walter de Gruyter GmbH
170,10.1177/1365712718782989,SAGE Publications,10.1177,SAGE Publications
171,10.1111/pops.12427,Wiley,10.1111,Wiley
172,10.1108/978-1-78769-415-620191004,Emerald Publishing,10.1108,Emerald
173,10.1007/978-3-319-64979-5_2,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
174,10.4324/9781315639314,Routledge,10.4324,Informa UK Limited
175,10.4324/9781315690254,Routledge,10.4324,Informa UK Limited
176,10.1093/oso/9780198804215.003.0025,Oxford University Press,10.1093,Oxford University Press (OUP)
177,10.1136/bmjspcare-2013-000639,BMJ Group,10.1136,BMJ
178,10.1017/9781108105392.008,Cambridge University Press,10.1017,Cambridge University Press (CUP)
179,10.1017/CBO9781316422861,Cambridge University Press,10.1017,Cambridge University Press (CUP)
180,10.1007/978-981-10-3136-6_45,Springer Singapore,10.1007,Springer Science and Business Media LLC
181,10.1057/9781137462466_12,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
182,10.1080/13619462.2018.1519424,Taylor & Francis,10.1080,Informa UK Limited
183,10.1017/S0963926816000900,Cambridge University Press,10.1017,Cambridge University Press (CUP)
184,10.1017/s0144686x17000940,Cambridge University Press (CUP),10.1017,Cambridge University Press (CUP)
185,10.1007/978-3-319-44019-4_3,Springer International Publishing,10.1007,Springer Science and Business Media LLC
186,10.1136/bmjspcare-2018-001543,BMJ,10.1136,BMJ
187,10.3351/ppp.2020.9998563363,Sheffield Hallam University,10.3351,Sheffield Hallam University
188,10.1007/978-3-319-51334-8_5,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
189,10.1080/14629712.2017.1388703,Routledge,10.1080,Informa UK Limited
190,10.1080/01439685.2019.1600915,Taylor & Francis,10.1080,Informa UK Limited
191,10.1017/9781316874820,OUP,10.1017,Cambridge University Press (CUP)
192,10.1080/14649365.2014.939708,Routledge,10.1080,Informa UK Limited
193,10.5750/dlj.v31i1.1791,University of Buckingham Press,10.5750,University of Buckingham Press
194,10.1080/17450101.2019.1635337,Taylor and Francis,10.1080,Informa UK Limited
195,10.1163/18739865-01101002,Brill,10.1163,Brill
196,10.7228/manchester/9781526100559.003.0006,Manchester University Press,10.7228,Manchester University Press
197,10.4324/9780429440212,Routledge,10.4324,Informa UK Limited
198,10.1080/14608944.2019.1649250,Taylor & Francis,10.1080,Informa UK Limited
199,10.1017/9781108561082.009,Cambridge University Press,10.1017,Cambridge University Press (CUP)
200,10.4324/9780429439056-3,Routledge,10.4324,Informa UK Limited
201,10.4324/9781315613154-20,Routledge,10.4324,Informa UK Limited
202,10.1007/978-3-319-73189-6_4,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
203,10.1057/9781137457257_10,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
204,10.1177/0038038514560261,SAGE Publications,10.1177,SAGE Publications
205,10.5040/9780567666864.ch-010,Bloomsbury,10.5040,Bloomsbury Academic
206,10.2307/26816995,University of Waikato * Department of Humanities,10.2307,JSTOR
207,10.4324/9781315626628,Taylor & Francis,10.4324,Informa UK Limited
208,10.1093/oso/9780198812425.003.0012,Oxford University Press,10.1093,Oxford University Press (OUP)
209,10.1111/bjso.12156,Wiley,10.1111,Wiley
210,10.1057/978-1-137-52346-4_6,Palgrave Macmillan UK,10.1057,Springer Science and Business Media LLC
211,10.1093/pastj/gtz059,Oxford Journals,10.1093,Oxford University Press (OUP)
212,10.1080/09574042.2015.1079994,Taylor and Francis,10.1080,Informa UK Limited
213,10.1017/9781108554336.009,Cambridge University Press,10.1017,Cambridge University Press (CUP)
214,10.1017/9781316711712.035,Cambridge University Press,10.1017,Cambridge University Press (CUP)
215,10.1057/978-1-137-46581-8_9,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
216,10.1093/aesthj/ayy030,Oxford University Press,10.1093,Oxford University Press (OUP)
217,10.1017/S0144686X18000909,Cambridge University Press,10.1017,Cambridge University Press (CUP)
218,10.1007/978-3-319-89728-8,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
219,10.1057/978-1-137-58054-2_6,Palgrave Macmillan UK,10.1057,Springer Science and Business Media LLC
220,10.1093/oso/9780198810087.003.0009,Oxford University Press,10.1093,Oxford University Press (OUP)
221,10.3898/175864317821095823,Lawrence & Wishart,10.3898,Lawrence and Wishart
222,10.3726/978-3-0353-0663-7,Peter Lang,10.3726,"Peter Lang, International Academic Publishers"
223,10.7228/manchester/9781784991500.003.0008,Manchester University Press,10.7228,Manchester University Press
224,10.1080/09581596.2018.1497143,Informa UK Limited,10.1080,Informa UK Limited
225,10.1111/chso.12201,Wiley-Blackwell,10.1111,Wiley
226,10.1057/978-1-137-48403-1_14,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
227,10.1007/978-3-030-55961-8,Palgrave,10.1007,Springer Science and Business Media LLC
228,10.1093/screen/hjz036,Oxford University Press,10.1093,Oxford University Press (OUP)
229,10.1515/njmr-2016-0029,De Gruyter,10.1515,Walter de Gruyter GmbH
230,10.1163/9789004375888_015,BRILL,10.1163,Brill
231,10.1017/sso9781316670408.006,Cambridge University Press,10.1017,Cambridge University Press (CUP)
232,10.3167/cs.2019.31010208,Berghahn,10.3167,Berghahn Books
233,10.1017/mdh.2018.43,Cambridge University Press,10.1017,Cambridge University Press (CUP)
234,10.1163/9789004414525_011,Brill,10.1163,Brill
235,10.1177/1360780417744791,Sage,10.1177,SAGE Publications
236,10.1093/oxfordhb/9780199593736.013.36,Oxford University Press,10.1093,Oxford University Press (OUP)
237,10.1007/978-3-030-18967-9_11,Springer International Publishing,10.1007,Springer Science and Business Media LLC
238,10.1002/berj.3610,Wiley,10.1002,Wiley
239,10.1111/1467-9566.12392,Wiley,10.1111,Wiley
240,10.1111/1467-9566.12392,Wiley,10.1111,Wiley
241,10.3366/edinburgh/9780748682492.003.0002,Edinburgh University Press,10.3366,Edinburgh University Press
242,10.1111/j.1467-6478.2016.00743.x,Wiley,10.1111,Wiley
243,10.1017/9781316570425.006,Cambridge University Press,10.1017,Cambridge University Press (CUP)
244,10.1057/978-1-137-57558-6,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
245,10.1017/bhj.2017.7,Cambridge University Press (CUP),10.1017,Cambridge University Press (CUP)
246,10.1177/1363460720904648,SAGE Publications,10.1177,SAGE Publications
247,10.1016/j.socscimed.2015.01.039,Elsevier BV,10.1016,Elsevier BV
248,10.1007/978-3-319-70314-5,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
249,10.1111/1467-9566.12072,Wiley,10.1111,Wiley
250,10.4324/9780429489600-6,"Routledge, Taylor & Francis Group",10.4324,Informa UK Limited
251,10.1163/9789004396555_004,Brill,10.1163,Brill
252,10.1007/978-3-030-36059-7,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
253,10.1016/j.pragma.2017.01.004,Elsevier BV,10.1016,Elsevier BV
254,10.1353/srm.2020.0035,Johns Hopkins University Press,10.1353,Project MUSE
255,10.1017/CBO9781139629195,Cambridge University Press,10.1017,Cambridge University Press (CUP)
256,10.4324/9781315696607-13,Routledge,10.4324,Informa UK Limited
257,10.1525/fmh.2019.5.2.148,University of California Press,10.1525,University of California Press
258,10.1075/lal.34.12sim,John Benjamins,10.1075,John Benjamins Publishing Company
259,10.33182/ks.v8i1.545,Transnational Press London,10.33182,Transnational Press London
260,10.1093/oso/9780198798071.001.0001,Oxford University Press,10.1093,Oxford University Press (OUP)
261,10.1525/ncl.2020.75.1.1,University of California Press,10.1525,University of California Press
262,10.1017/9781108105392.006,Cambridge University Press,10.1017,Cambridge University Press (CUP)
263,10.1017/9781316847893.009,Cambridge University Press,10.1017,Cambridge University Press (CUP)
264,10.1017/S0143814X14000099,Cambridge University Press (CUP),10.1017,Cambridge University Press (CUP)
265,10.1515/multi-2017-0013,DeGruyter,10.1515,Walter de Gruyter GmbH
266,10.5744/florida/9780813054742.003.0010,University Press of Florida,10.5744,University Press of Florida
267,10.1093/oso/9780190072506.003.0002,Oxford University Press,10.1093,Oxford University Press (OUP)
268,10.3726/b15005,Peter Lang,10.3726,"Peter Lang, International Academic Publishers"
269,10.1007/978-981-10-0306-6_6,Springer,10.1007,Springer Science and Business Media LLC
270,10.1093/oso/9780190498931.003.0001,Oxford University Press,10.1093,Oxford University Press (OUP)
271,10.1086/702628,University of Chicago Press,10.1086,University of Chicago Press
272,10.4324/9781315696607-8,Routledge,10.4324,Informa UK Limited
273,10.1080/1461670X.2017.1389294,Taylor & Francis,10.1080,Informa UK Limited
274,10.1007/978-3-030-33180-1_2,Palgrave Pivot,10.1007,Springer Science and Business Media LLC
275,10.1093/oso/9780199394852.003.0011,Oxford University Press,10.1093,Oxford University Press (OUP)
276,10.1016/j.jbvi.2019.e00125,Elsevier BV,10.1016,Elsevier BV
277,10.1007/s00787-020-01526-3,Springer Medizin,10.1007,Springer Science and Business Media LLC
278,10.1017/9781316335468.017,Cambridge University Press,10.1017,Cambridge University Press (CUP)
279,10.1080/17449855.2017.1337675,Routledge,10.1080,Informa UK Limited
280,10.1111/hsc.12616,Wiley,10.1111,Wiley
281,10.1057/9781137488756_6,Palgrave Macmillan US,10.1057,Springer Science and Business Media LLC
282,10.4324/9781315461458-6,Taylor & Francis,10.4324,Informa UK Limited
283,10.5040/9781474271332.ch-010,Bloomsbury Academic,10.5040,Bloomsbury Academic
284,10.1093/oso/9780190670764.003.0006,Oxford University Press,10.1093,Oxford University Press (OUP)
285,10.3920/978-90-8686-846-9_10,Wageningen Publishers,10.3920,Wageningen Academic Publishers
286,10.1093/oso/9780190605285.003.0003,Oxford University Press,10.1093,Oxford University Press (OUP)
287,10.2307/j.ctvwh8ckb.9,Hollitzer Verlag,10.2307,JSTOR
288,10.1093/acprof:oso/9780199945351.003.0013,Oxford University Press,10.1093,Oxford University Press (OUP)
289,10.31819/9783954875801,Vervuert Verlagsgesellschaft,10.31819,Vervuert Verlag oHG
290,10.1017/9781108296830.014,Cambridge University Press,10.1017,Cambridge University Press (CUP)
291,10.1515/9783110598254,de Gruyter,10.1515,Walter de Gruyter GmbH
292,10.1163/9789004381438,Brill,10.1163,Brill
293,10.1017/S073824802000005X,Cambridge University Press,10.1017,Cambridge University Press (CUP)
294,10.1080/00043079.2017.1251814,Taylor and Francis,10.1080,Informa UK Limited
295,10.1163/9789004304895_004,Brill,10.1163,Brill
296,10.1080/13569325.2017.1309317,Taylor & Francis,10.1080,Informa UK Limited
297,10.1177/1743872117738914,Sage,10.1177,SAGE Publications
298,10.1093/jsh/shz066,Oxford University Press,10.1093,Oxford University Press (OUP)
299,10.1093/oxfordhb/9780199841547.001.0001,Oxford University Press,10.1093,Oxford University Press (OUP)
300,10.1017/CBO9781139924795.012,Cambridge University Press,10.1017,Cambridge University Press (CUP)
301,10.1057/s41286-018-00066-1,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
302,10.1057/978-1-137-53975-5_2,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
303,10.1075/pbns.306.05keh,John Benjamins Publishing Company,10.1075,John Benjamins Publishing Company
304,10.1057/9781137372437_12,Palgrave Macmillan,10.1057,Springer Science and Business Media LLC
305,10.1353/mod.2019.0057,Project Muse,10.1353,Project MUSE
306,10.1163/15733823-00254P02,Brill,10.1163,Brill
307,10.1353/mfs.2018.0049,Johns Hopkins Univ Press,10.1353,Project MUSE
308,10.1007/978-3-030-02704-9_13,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
309,10.1111/anti.12634,Wiley Blackwell,10.1111,Wiley
310,10.1057/978-1-349-93437-9_13,Palgrave Macmillan US,10.1057,Springer Science and Business Media LLC
311,10.1515/9783110246551,De Gruyter,10.1515,Walter de Gruyter GmbH
312,10.4324/9781315553092-13,Routledge,10.4324,Informa UK Limited
313,10.1017/9781107587779.007,Cambridge University Press,10.1017,Cambridge University Press (CUP)
314,10.1037/men0000220,American Psychological Association (APA),10.1037,American Psychological Association (APA)
315,10.5744/florida/9780813062815.003.0004,University Press of Florida,10.5744,University Press of Florida
316,10.1093/oxfordhb/9780190498788.013.10,Oxford University Press,10.1093,Oxford University Press (OUP)
317,10.4324/9781315559018-23,Routledge,10.4324,Informa UK Limited
318,10.1093/oxfordhb/9780190498788.013.15,Oxford University Press,10.1093,Oxford University Press (OUP)
319,10.1111/dpr.12494,Wiley,10.1111,Wiley
320,10.1007/978-3-030-24616-7_7,Palgrave Macmillan Ltd.,10.1007,Springer Science and Business Media LLC
321,10.1057/9781137392701_1,Palgrave Macmillan US,10.1057,Springer Science and Business Media LLC
322,10.1016/j.jwb.2020.101109,Elsevier,10.1016,Elsevier BV
323,10.1353/sac.2016.0006,The New Chaucer Society,10.1353,Project MUSE
324,10.2307/j.ctvd58tj2.11,Boydell Press,10.2307,JSTOR
325,10.5612/slavicreview.74.1.57,American Association for the Advancement of Slavic Studies,10.5612,"Association for Slavic, East European, and Eurasian Studies"
326,10.1017/9781108565776.009,Cambridge University Press,10.1017,Cambridge University Press (CUP)
327,10.1002/ijop.12391,Wiley,10.1002,Wiley
328,10.1287/mnsc.2020.3686,Institute for Operations Research and the Management Sciences (I N F O R M S),10.1287,Institute for Operations Research and the Management Sciences (INFORMS)
329,10.1163/9789004443990_003,Brill,10.1163,Brill
330,10.1177/0010414015581684,Sage,10.1177,SAGE Publications
331,10.1016/j.socscimed.2020.113148,Elsevier BV,10.1016,Elsevier BV
332,10.14742/ajet.3557,Australasian Society for Computers in Learning in Tertiary Education,10.14742,Australasian Society for Computers in Learning in Tertiary Education
333,10.1080/1535685X.2017.1317059,Taylor and Francis,10.1080,Informa UK Limited
334,10.1016/j.psychsport.2016.01.011,Elsevier,10.1016,Elsevier BV
